op,room_base,room_raw,stage,round,seq_in_room,sender,receiver,is_broadcast,bytes,participants_k
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,4,1,3,1,328,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,5,3,1,1,334,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,5,3,2,1,334,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,6,2,1,1,338,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,6,2,3,1,338,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,7,3,1,0,550,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,8,2,1,0,551,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,9,3,2,0,548,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,10,2,3,0,553,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,11,1,2,0,549,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,12,1,3,0,538,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,4,13,2,1,1,538,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,4,13,2,3,1,538,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,4,14,3,1,1,544,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,4,14,3,2,1,544,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,4,15,1,2,1,539,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,4,15,1,3,1,539,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,1,1,3,1,1,14424,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,1,1,3,2,1,14424,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,1,2,2,1,1,14431,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,1,2,2,3,1,14431,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,1,3,1,2,1,14385,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,1,3,1,3,1,14385,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,2,4,2,1,1,330,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,2,4,2,3,1,330,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,2,5,3,1,1,334,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,2,5,3,2,1,334,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,2,6,1,2,1,332,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,2,6,1,3,1,332,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,3,7,1,2,0,550,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,3,8,2,1,0,545,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,3,9,1,3,0,547,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,3,10,2,3,0,546,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,3,11,3,1,0,547,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,3,12,3,2,0,545,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,4,13,2,1,1,534,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,4,13,2,3,1,534,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,4,14,3,1,1,544,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,4,14,3,2,1,544,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,4,15,1,2,1,541,3
dkg,dkg_room_1768484518261-10749-6-268872890,dkg_room_1768484518261-10749-6-268872890,,4,15,1,3,1,541,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,1,1,2,1,1,14448,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,1,1,2,3,1,14448,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,1,2,3,1,1,14402,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,1,2,3,2,1,14402,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,1,3,1,2,1,14406,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,1,3,1,3,1,14406,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,2,4,2,1,1,334,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,2,4,2,3,1,334,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,2,5,3,1,1,331,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,2,5,3,2,1,331,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,2,6,1,2,1,331,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,2,6,1,3,1,331,3
